old_date,DAY OF THE WEEK,business_unit,old_revenue,VOLUME,SPEND PER PERSON,date,revenue
04/02/2025,Tuesday,Juntos house,0.00,0,0,2025-02-04,0.00
04/02/2025,Tuesday,Juntos boutique,0.00,0,0,2025-02-04,0.00
04/02/2025,Tuesday,Picadeli,"3,168.28",199,15.92,2025-02-04,3168.28
04/02/2025,Tuesday,Juntos farm shop,310.55,17,18.27,2025-02-04,310.55
04/02/2025,Tuesday,Tasting place,253.80,27,9.4,2025-02-04,253.80
04/02/2025,Tuesday,Distribution b2b,501.97,5,100.39,2025-02-04,501.97
04/02/2025,Tuesday,Activities,0.00,0,0,2025-02-04,0.00
04/02/2025,Tuesday,Juntos Products,0.00,0,0,2025-02-04,0.00
04/03/2025,Tuesday,Juntos house,0.00,0,0,2025-03-04,0.00
04/03/2025,Tuesday,Juntos boutique,0.00,0,0,2025-03-04,0.00
04/03/2025,Tuesday,Picadeli,"3,459.00",182,19.01,2025-03-04,3459.00
04/03/2025,Tuesday,Juntos farm shop,383.59,26,14.75,2025-03-04,383.59
04/03/2025,Tuesday,Tasting place,223.60,19,11.77,2025-03-04,223.60
04/03/2025,Tuesday,Distribution b2b,261.38,5,52.28,2025-03-04,261.38
04/03/2025,Tuesday,Activities,0.00,0,0,2025-03-04,0.00
04/03/2025,Tuesday,Juntos Products,52.95,0,0,2025-03-04,52.95
04/04/2025,Friday,Juntos house,"3,707.00",58,63.91,2025-04-04,3707.00
04/04/2025,Friday,Juntos boutique,136.00,3,45.33,2025-04-04,136.00
04/04/2025,Friday,Picadeli,"3,227.00",190,16.98,2025-04-04,3227.00
04/04/2025,Friday,Juntos farm shop,538.62,21,25.65,2025-04-04,538.62
04/04/2025,Friday,Tasting place,552.10,31,17.81,2025-04-04,552.10
04/04/2025,Friday,Distribution b2b,956.02,7,136.57,2025-04-04,956.02
04/04/2025,Friday,Activities,0.00,0,0,2025-04-04,0.00
04/04/2025,Friday,Juntos Products,96.00,0,0,2025-04-04,96.00
04/05/2025,Sunday,Juntos house,"7,807.00",117,66.73,2025-05-04,7807.00
04/05/2025,Sunday,Juntos boutique,488.80,9,54.31,2025-05-04,488.80
04/05/2025,Sunday,Picadeli,0.00,0,0,2025-05-04,0.00
04/05/2025,Sunday,Juntos farm shop,0.00,0,0,2025-05-04,0.00
04/05/2025,Sunday,Tasting place,0.00,0,0,2025-05-04,0.00
04/05/2025,Sunday,Distribution b2b,0.00,0,0,2025-05-04,0.00
04/05/2025,Sunday,Activities,0.00,0,0,2025-05-04,0.00
04/05/2025,Sunday,Juntos Products,0.00,0,0,2025-05-04,0.00
04/06/2025,Wednesday,Juntos house,"6,997.75",84,83.31,2025-06-04,6997.75
04/06/2025,Wednesday,Juntos boutique,"1,861.00",10,186.1,2025-06-04,1861.00
04/06/2025,Wednesday,Picadeli,"3,692.96",214,17.26,2025-06-04,3692.96
04/06/2025,Wednesday,Juntos farm shop,451.43,24,18.81,2025-06-04,451.43
04/06/2025,Wednesday,Tasting place,712.40,33,21.59,2025-06-04,712.40
04/06/2025,Wednesday,Distribution b2b,"1,493.74",14,106.7,2025-06-04,1493.74
04/06/2025,Wednesday,Activities,0.00,0,0,2025-06-04,0.00
04/06/2025,Wednesday,Juntos Products,0.00,0,0,2025-06-04,0.00
04/07/2025,Friday,Juntos house,"10,791.95",113,95.5,2025-07-04,10791.95
04/07/2025,Friday,Juntos boutique,913.60,6,152.27,2025-07-04,913.60
04/07/2025,Friday,Picadeli,"3,067.54",147,20.87,2025-07-04,3067.54
04/07/2025,Friday,Juntos farm shop,"3,221.46",126,25.57,2025-07-04,3221.46
