,,,,,,,,,,,dia,BU,
SIN IVA,Año Fecha,Mes Fecha,Fecha,Serie,Área de Negocio,Centro de coste,Uds.,Importe,BU,,,,Total Día
,2024,02  Febrero,2/12/2024,FVA,ALBARANES DE VENTA,,20.40,41.06 €,Distribution b2b,,3/19/2024,Juntos Products,252
,2024,02  Febrero,2/12/2024,FVJ,FACTURA DE VENTA JUNTOS,,20.00,"4,287.62 €",Distribution b2b,,3/20/2024,Distribution b2b,170
,2024,02  Febrero,2/13/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,0.00,0.00 €,Distribution b2b,,3/20/2024,Juntos boutique,310
,2024,02  Febrero,2/13/2024,FVA,ALBARANES DE VENTA,,130.60,499.63 €,Distribution b2b,,3/20/2024,Juntos house,3909
,2024,02  Febrero,2/13/2024,JVF,FACTURAS DE VENTA,,1.00,35.00 €,Juntos Products,,3/21/2024,Distribution b2b,587
,2024,02  Febrero,2/14/2024,AT1T,Factura simplificada AT1T,,13.00,254.13 €,Juntos house,,3/21/2024,Juntos Products,35
,2024,02  Febrero,2/14/2024,AR3I,Invitaciones AR3I,,9.00,0.00 €,Juntos house,,3/21/2024,Juntos boutique,101
,2024,02  Febrero,2/14/2024,FVA,ALBARANES DE VENTA,,79.14,384.72 €,Distribution b2b,,3/21/2024,Juntos house,1276
,2024,02  Febrero,2/14/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,3.00,203.33 €,Distribution b2b,,3/22/2024,Distribution b2b,298
,2024,02  Febrero,2/14/2024,JVF,FACTURAS DE VENTA,,2.00,70.00 €,Juntos Products,,3/22/2024,Juntos boutique,94
,2024,02  Febrero,2/14/2024,AR3G,Tiquet AR3G,,506.50,"7,069.55 €",Juntos house,,3/22/2024,Juntos house,1647
,2024,02  Febrero,2/15/2024,FVA,ALBARANES DE VENTA,,123.80,395.51 €,Distribution b2b,,3/23/2024,Juntos boutique,1048
,2024,02  Febrero,2/15/2024,AR3G,Tiquet AR3G,,264.50,"3,497.36 €",Juntos house,,3/23/2024,Juntos house,5736
,2024,02  Febrero,2/15/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,1.00,17.50 €,Distribution b2b,,3/24/2024,Juntos boutique,261
,2024,02  Febrero,2/15/2024,JVA,ALBARANES DE VENTA,,1.00,40.00 €,Juntos Products,,3/24/2024,Juntos house,3610
,2024,02  Febrero,2/15/2024,AT1T,Factura simplificada AT1T,,6.00,220.66 €,Juntos house,,3/25/2024,Distribution b2b,146
,2024,02  Febrero,2/16/2024,AR3G,Tiquet AR3G,,275.00,"3,324.82 €",Juntos house,,3/25/2024,Juntos house,182
,2024,02  Febrero,2/16/2024,AT1T,Factura simplificada AT1T,,-2.00,0.41 €,Juntos house,,3/26/2024,Distribution b2b,462
,2024,02  Febrero,2/16/2024,AT1F,Factura de venta AT1F,,4.00,111.16 €,Juntos house,,3/27/2024,Distribution b2b,470
,2024,02  Febrero,2/16/2024,FVA,ALBARANES DE VENTA,,124.65,515.75 €,Distribution b2b,,3/27/2024,Juntos Products,35
,2024,02  Febrero,2/16/2024,FVS,FACTURAS VENTA SIMPLIFICADAS,,3.00,70.00 €,Distribution b2b,,3/27/2024,Juntos boutique,78
,2024,02  Febrero,2/17/2024,AR3G,Tiquet AR3G,,537.00,"8,562.73 €",Juntos house,,3/27/2024,Juntos house,2873
,2024,02  Febrero,2/17/2024,AR3I,Invitaciones AR3I,,3.00,0.00 €,Juntos house,,3/28/2024,Distribution b2b,433
,2024,02  Febrero,2/17/2024,AT1T,Factura simplificada AT1T,,15.00,192.89 €,Juntos house,,3/28/2024,Juntos Products,35
,2024,02  Febrero,2/18/2024,AR3G,Tiquet AR3G,,372.00,"4,569.36 €",Juntos house,,3/28/2024,Juntos boutique,248
